Code,Short,Name (Eng),Name (Chi),Principal Office,Place Incorporated,Principal Activities,Industry Classification,Currency,Issued Shares,Authorised Shares,Par Value,Board Lot,Listing Date,Remark
00596,INSPUR INT'L,Inspur International Ltd.,浪潮國際有限公司,"Flat B&C;, 30/F, Tower ABillion Centre1 Wang Kwong RoadKowloon Bay, Kowloon, HK",Cayman Islands,Software development and provision of software outsourcing services.,Information Technology - Software & Services - System Applications & IT Consulting (HSIC*),HKD,"901,536,331","2,000,000,000",HKD 0.0100,2000,29/4/2004(Transferred from GEM on 29/8/2008),New
00598,SINOTRANS,Sinotrans Ltd. - H Shares,中國外運股份有限公司 - H股,"Sinotrans Plaza AA43, Xizhimen BeidajieHaidian DistrictBeijing 100082, PRC",PRC,"Freight forwarding, logistics, storage and terminal services, and other services mainly engaged in trucking, shipping and express services.",Industrials - Industrial Transportation - Shipping & Port Operation (HSIC*),HKD,"2,144,887,000",N/A,RMB 1.0000,1000,13/2/2003,New
00599,E. BON HOLDINGS,E. Bon Holdings Ltd.,怡邦行控股有限公司,16-18/FFirst Commercial Building33 Leighton RoadCauseway Bay Hong Kong,Cayman Islands,"Importing, wholesale and/or installation of architectural builders hardware, bathroom, kitchen collections and furniture in Hong Kong and the provision of construction service for property developers in the PRC.",Consumer Goods - Household Goods & Electronics - Household Goods (HSIC*),HKD,"600,600,000","1,000,000,000",HKD 0.1000,4000,12/4/2000,New
00600,CHINA INFRA INV,China Infrastructure Investment Ltd.,中國基建投資有限公司,"Suite 1205, 12th FloorTower 6, The Gateway9 Canton Road, Tsim Sha TsuiKowloon, Hong Kong",Cayman Islands,"Properties investment in Hong Kong; transportation and sales of natural pipelined gases, and natural gas pipeline connections in the PRC.",Energy - Oil & Gas - Oil & Gas Equipment & Services (HSIC*),HKD,"4,269,910,510","10,000,000,000",HKD 0.0500,2000,5/10/1993,New
00601,GROUP SENSE,Group Sense (International) Ltd.,權智(國際)有限公司,"Room 2606A, 26th FloorHarbour Centre25 Harbour RoadWanchai, Hong Kong",Bermuda,"Design, manufacture and sale of original design manufacturing products, electronic dictionary products and personal communication products, provision of electronic manufacturing services & manufacture and sale of magnesium related products.",Consumer Goods - Household Goods & Electronics - Consumer Electronics (HSIC*),HKD,"2,874,390,058","10,000,000,000",HKD 0.1000,10000,28/1/1993,New
00602,JIAHUA STORES H,Jiahua Stores Holdings Ltd.,佳華百貨控股有限公司,"Suite 715, 7/FOcean Centre5 Canton Road, TsimshatsuiKowloon, Hong Kong",Cayman Islands,"Operation and management of retail stores, wholesale of consumables and provision of factoring services in the PRC.",Consumer Services - Retailers - Department Stores (HSIC*),HKD,"1,037,500,002","10,000,000,000",HKD 0.0100,2500,21/5/2007,New
00603,CHINA OIL & GAS,China Oil And Gas Group Ltd.,中油燃氣集團有限公司,"Suite 2805, 28th FloorSino Plaza255-257 Gloucester RoadCauseway Bay Hong Kong",Bermuda,Investments in natural gas and energy related businesses.,Utilities - Utilities - Gas Distribution (HSIC*),HKD,"5,825,683,834","125,000,000,000",HKD 0.0100,20000,28/5/1993,New
00604,SHENZHEN INVEST,Shenzhen Investment Ltd.,深圳控股有限公司,8/F New East Ocean Centre9 Science Museum RoadTsimshatsuiKowloon Hong Kong,Hong Kong,Property development; property investment; property management; manufacture and sale of industrial and commercial products.,Properties & Construction - Properties - Property Development (HSIC*),HKD,"7,634,268,893",N/A,N/A,2000,7/3/1997,New
00605,C FIN SERVICES,China Financial Services Holdings Ltd.,中國金融投資管理有限公司,Suite 560656/F Central Plaza18 Harbour Road WanchaiHong Kong,Hong Kong,"Provision of integrated short-term financing services, comprising short-term financing, loan guarantee services and related management and consultancy services.",Financials - Other Financials - Financing (HSIC*),HKD,"3,840,056,336",N/A,N/A,2000,7/4/1993,New
00606,CHINA AGRI,China Agri-Industries Holdings Ltd.,中國糧油控股有限公司,"31st Floor, COFCO Tower262 Gloucester RoadCauseway BayHong Kong",Hong Kong,"Oilseeds processing, rice trading and processing, biofuel and biochemical, brewing materials and wheat processing.",Consumer Goods - Agricultural Products - Agricultural Products (HSIC*),HKD,"5,249,880,788",N/A,N/A,1000,21/3/2007,New
00607,FULLSHARE,Fullshare Holdings Ltd.,豐盛控股有限公司,"Unit 2526, Level 25Tower One, Admiralty Centre18 Harcourt RoadAdmiralty, Hong Kong",Cayman Islands,"Property development, provision of green building services, investment and healthcare products and services business.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"15,756,872,500","20,000,000,000",HKD 0.0100,2500,18/12/2002,New
00608,HIGH FASHION,High Fashion International Ltd.,達利國際集團有限公司,11/F High Fashion Centre1-11 Kwai Hei StreetKwai ChungNT Hong Kong,Bermuda,"Manufacture, trading and retailing of garments.","Consumer Goods - Textiles, Clothing & Personal Care - Apparel (HSIC*)",HKD,"305,615,420","1,000,000,000",HKD 0.1000,2000,4/8/1992,New
00609,TIANDE CHEMICAL,Tiande Chemical Holdings Ltd.,天德化工控股有限公司,Room 2204A on the 22nd FloorBank of America Tower12 Harcourt Road CentralHong Kong,Cayman Islands,"Research and development, production and sale of fine chemical products.",Materials - Basic Materials - Specialty Chemicals (HSIC*),HKD,"847,218,000","100,000,000,000",HKD 0.0100,4000,27/10/2006,New
00610,WAI KEE HOLD,Wai Kee Holdings Ltd.,惠記集團有限公司,"Unit 1103, 11th FloorEast Ocean Centre98 Granville RoadTsimshatsui, Kowloon, HK",Bermuda,Construction of civil engineering and building projects; production and sale of concrete; production and sale of quarry products; strategic investment.,Properties & Construction - Construction - Heavy Construction & Engineering (HSIC*),HKD,"793,124,034","1,000,000,000",HKD 0.1000,2000,28/8/1992,New
00611,CNE TECH CORP,China Nuclear Energy Technology Corporation Ltd.,中國核能科技集團有限公司,"Suite 2801, 28th FloorChina Resources Building26 Harbour RoadWanchai, Hong Kong",Bermuda,"Restaurant operations; property investments; hotel operations; financing operations; solar power generation operations; design and consulting services, engineering, procurement and construction operations; and other.",Utilities - Utilities - Alternative/ Renewable Energy (HSIC*),HKD,"1,133,094,192","5,000,000,000",HKD 0.1000,2000,12/2/1993,New
00612,CHINA INV FUND,China Investment Fund Co. Ltd.,中國投資基金有限公司,"Suites 2701, 27th FloorOne International Finance CentNo 1 Harbour View StreetCentral, Hong Kong",Cayman Islands,"Investment in listed and unlisted securities, purchases and sales of listed securities, and property investment.",Financials - Other Financials - Investment & Asset Management (HSIC*),HKD,"1,107,020,000","4,000,000,000",HKD 0.0500,8000,2/1/2002,New
00613,YUGANG INT'L,Yugang International Ltd.,渝港國際有限公司,Rooms 3301-3307China Resources Bldg26 Harbour RoadWanchai Hong Kong,Bermuda,Treasury management; property investment; and trading of scrap metals and other materials.,Properties & Construction - Properties - Property Investment (HSIC*),HKD,"9,305,276,756","50,000,000,000",HKD 0.0100,2000,12/11/1993,New
00616,EMINENCE ENT,Eminence Enterprise Ltd.,高山企業有限公司,"Block A, 7th FloorHong Kong Spinners BuildingPhase 6,481-483 Castle Peak RdCheung Sha Wan Kln Hong Kong",Bermuda,"Property investment, loan financing, trading of garments, trading of securities.","Consumer Goods - Textiles, Clothing & Personal Care - Apparel (HSIC*)",HKD,"1,136,609,837","20,000,000,000",HKD 0.0100,5000,16/9/1991,New
00617,PALIBURG HOLD,Paliburg Holdings Ltd.,百利保控股有限公司,11th Floor68 Yee Wo StreetCauseway BayHong Kong,Bermuda,"Property development & investment, construction & building related businesses, hotel ownership, hotel operation & management, asset management & other investment including financial assets investments, aircraft ownership & leasing business.","Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Hotels & Resorts (HSIC*)",HKD,"1,114,585,474","2,000,000,000",HKD 0.1000,2000,17/12/1993,New
00618,PKU RESOURCES,Peking University Resources (Holdings) Co. Ltd.,北大資源（控股）有限公司,"Unit 1408 14/F Cable TV Tower9 Hoi Shing RoadTsuen Wan, New TerritoriesHong Kong",Bermuda,Distribution of information products; property development and property investment.,Information Technology - IT Hardware - Computers & Peripherals (HSIC*),HKD,"5,988,248,671","15,000,000,000",HKD 0.1000,2000,7/10/1991,New
00619,SOUTH CHINA FIN,South China Financial Holdings Ltd.,南華金融控股有限公司,28/FBank of China Tower1 Garden RoadCentral Hong Kong,Hong Kong,"Securities, commodities, bullion and forex broking and trading; margin financing and money lending; provision of corporate advisory and underwriting services; wealth management; property investment; investment holding.",Financials - Other Financials - Securities & Brokerage (HSIC*),HKD,"15,084,253,500",N/A,N/A,50000,16/7/1993,New
00620,DTXS SILK ROAD,DTXS Silk Road Investment Holdings Co. Ltd.,大唐西市絲路投資控股有限公司,"Unit 2602, 26/FBank of America Tower12 Harcourt RoadCentral, Hong Kong",Bermuda,Sales of jewellery; sales of vessels; marine engineering; and construction and structural steel engineering and related services.,Industrials - Industrial Engineering - Commercial Vehicles & Trucks (HSIC*),HKD,"504,117,380","5,000,000,000",HKD 0.5000,2000,30/9/1991,New
00621,TAUNG GOLD,Taung Gold International Ltd.,壇金礦業有限公司,"Unit 1901, 19/F, Nina Tower8 Yeung Uk RoadTsuen Wan, New TerritoriesHong Kong",Bermuda,Operations of gold mines in the Republic of South Africa and sale of minerals.,Materials - Gold & Precious Metals - Gold & Precious Metals (HSIC*),HKD,"14,874,633,693","30,000,000,000",HKD 0.0100,10000,18/12/1995,New
00622,ENERCHINA HOLD,Enerchina Holdings Ltd.,威華達控股有限公司,"28th Floor, Infinitus Plaza199 Des Voeux Road CentralHong Kong",Bermuda,"Investment holdings, provision of securities brokerage services, placing & underwriting, corporate finance advisory, trading & investment of securities, provision of margin financing, money lending, investment advisory & management.",Financials - Other Financials - Securities & Brokerage (HSIC*),HKD,"7,193,846,664","12,000,000,000",HKD 0.0100,3000,16/9/1991,New
00623,SINOMEDIA,SinoMedia Holding Ltd.,中視金橋國際傳媒控股有限公司,"Unit 402, 4th FloorFairmont HouseNo 8 Cotton Tree DriveAdmiralty, Hong Kong",Hong Kong,"Providing nationwide TV advertising coverage and campaign planning, and TV advertisement production services for advertisers and advertising agents.",Consumer Services - Media & Entertainment - Advertising & Marketing (HSIC*),HKD,"543,638,370",N/A,N/A,1000,8/7/2008,New
00626,PUBLIC FIN HOLD,Public Financial Holdings Ltd.,大眾金融控股有限公司,"2/F, Public Bank Centre120 Des Voeux Road CentralCentralHong Kong",Bermuda,"Provision of retail & commercial banking & lending services, stockbroking, letting of investment properties, provision of financing to purchasers of taxi & public light buses, trading of taxi cabs & taxi licences & leasing of taxis.",Financials - Banks - Banks (HSIC*),HKD,"1,097,917,618","2,000,000,000",HKD 0.1000,2000,3/10/1991,New
00627,U-RIGHT INT'L,U-RIGHT International Holdings Ltd.,佑威國際控股有限公司,"21/F, Bank of China Tower1 Garden RoadCentralHong Kong",Bermuda,Wholesale and retail of fashion garments and trading of garment materials.,"Consumer Goods - Textiles, Clothing & Personal Care - Apparel (HSIC*)",HKD,"1,321,682,525","50,000,000,000",HKD 0.0100,20000,13/11/2000,New
00628,SINO CREDIT,Sino Credit Holdings Ltd.,華銀控股有限公司,"Suite 1502, 15/FFar East Finance Centre16 Harcourt RoadAdmiralty, Hong Kong",Bermuda,"Real estate-backed loan service, personal property pawn loan service, commercial factoring, financial leasing, financial consultation services and other loans service in the PRC and money lending service in Hong Kong.",Financials - Other Financials - Financing (HSIC*),HKD,"634,780,780","6,000,000,000",HKD 0.1000,2000,24/7/2002,New
00629,YUE DA MINING,Yue Da Mining Holdings Ltd.,悅達礦業控股有限公司,"Office nos 3321-3 & 3325, 33/FChina Merchants TowerShun Tak CentreNo 168-200 Connaught Rd C HK",Cayman Islands,"Exploration, mining and processing of zinc, lead, iron and gold.",Materials - Diversified Metals & Minerals - Other Metals & Minerals (HSIC*),HKD,"918,626,516","2,000,000,000",HKD 0.1000,1000,29/11/2001,New
00630,AMCO UNITED,AMCO United Holding Ltd.,雋泰控股有限公司,"9/F, Fung House19-20 Connaught Road CentralHong Kong",Bermuda,Manufacture and sale of medical devices products and plastic moulding products; provision of public relations services; and provision of human resources management services.,Information Technology - IT Hardware - Computers & Peripherals (HSIC*),HKD,"1,862,679,481","40,000,000,000",HKD 0.0100,10000,28/11/1996,New
00631,SANY INT'L,Sany Heavy Equipment International Holdings Co. Ltd.,三一重裝國際控股有限公司,"Room 2022-2023, Landmark NorthNo. 39 of Lung Sum AVSheung Shui, New TerritoriesHong Kong",Cayman Islands,"Manufacture and sale of roadheader, combined coal mining unit, mining transport equipment(including underground and surface), port machinery, spare parts and the provision of related service in Mainland China.",Industrials - Industrial Engineering - Heavy Industrial Machinery (HSIC*),HKD,"3,041,025,000","5,000,000,000",HKD 0.1000,1000,25/11/2009,New
00632,PEARLORIENT OIL,Pearl Oriental Oil Ltd.,東方明珠石油有限公司,"Suite 1908, 19th Floor9 Queen's Road CentralHong Kong",Bermuda,"Processing and sales of recycling materials, oil and natural gas and petroleum exploration, exploitation and production in certain natural gas and oilfield located in Uinta Basin, Uintah County, Utah, the United States of America.",Energy - Oil & Gas - Oil & Gas Producers (HSIC*),HKD,"3,245,519,752","200,000,000,000",HKD 0.1000,1000,30/4/1993,New
00633,CH ALL ACCESS,China All Access (Holdings) Ltd.,中國全通(控股)有限公司,"Level 65International Commerce Centre1 Austin Road WestKowloon, Hong Kong",Cayman Islands,"Provision of satellite communication application solutions & other services, wireless data communication application solutions & services; investment holding ; research, development & production of products & parts of mobile terminals.",Telecommunications - Telecommunications - Satellite & Wireless Communication (HSIC*),HKD,"1,915,723,216","100,000,000,000",HKD 0.0100,2000,16/9/2009,New
00635,PLAYMATES,Playmates Holdings Ltd.,彩星集團有限公司,23/F The Toy House100 Canton RoadTsimshatsuiKowloon Hong Kong,Bermuda,"Design, development, marketing and distribution of toys and family entertainment activity products, property investments, property management, restaurant operation and investment holding.",Consumer Goods - Household Goods & Electronics - Toys & Leisure Products (HSIC*),HKD,"216,000,000","3,000,000,000",HKD 0.1000,2000,6/1/1994,New
00636,KERRY LOG NET,Kerry Logistics Network Ltd.,嘉里物流聯網有限公司,"16/F, Kerry Cargo Centre55 Wing Kei RoadKwai Chung, New TerritoriesHong Kong",Bermuda,"Provision of logistics, freight and warehouse leasing and operations services.",Industrials - Industrial Transportation - Air Freight & Logistics (HSIC*),HKD,"1,695,321,112","6,000,000,000",HKD 0.5000,500,19/12/2013,New
00637,LEE KEE,Lee Kee Holdings Ltd.,利記控股有限公司,"No. 16, Dai Fat StreetTai Po Industrial EstateNew Territories, Hong Kong",Cayman Islands,"Trading of zinc, zinc alloy, nickel, nickel-related products, aluminum, aluminium alloy, stainless steel and other electroplating chemical products in Hong Kong and Mainland China.",Materials - Diversified Metals & Minerals - Other Metals & Minerals (HSIC*),HKD,"828,750,000","8,000,000,000",HKD 0.1000,2000,4/10/2006,New
00638,KIN YAT HOLD,Kin Yat Holdings Ltd.,建溢集團有限公司,7th FloorGalaxy Factory Building25-27 Luk Hop StreetSan Po Kong Kowloon Hong Kong,Bermuda,"Design, manufacture and sale of electrical and electronic products, motors and materials primarily for use in panel display, the exploration, processing and sale of mineral products and real estate development.",Consumer Goods - Household Goods & Electronics - Home Appliances (HSIC*),HKD,"419,160,000","1,000,000,000",HKD 0.1000,2000,1/5/1997,New
00639,SHOUGANG RES,Shougang Fushan Resources Group Ltd.,首鋼福山資源集團有限公司,"6th Floor, Bank of EastAsia Harbour View Centre56 Gloucester RoadWanchai, Hong Kong",Hong Kong,"Coking coal mining, production and sales of coking coal products.",Energy - Coal - Coal (HSIC*),HKD,"5,301,837,842",N/A,N/A,2000,2/10/1990,New
00640,INFINITY DEV,Infinity Development Holdings Co. Ltd.,星謙發展控股有限公司,Units 2201-220222/F Alliance Building133 Connaught Road CentralHong Kong,Cayman Islands,Manufacture and sales of adhesives and related products for customers in footwear manufacturing in the PRC and Vietnam and the trading of adhesive used in the production of electronic products.,Materials - Basic Materials - Specialty Chemicals (HSIC*),HKD,"631,719,076","5,000,000,000",HKD 0.0100,4000,12/8/2010,New
00641,CHTC FONG'S,CHTC Fong's Industries Co. Ltd.,恒天立信工業有限公司,8/F 22-28 Cheung Tat RoadTsing Yi IslandNew TerritoriesHong Kong,Bermuda,"Manufacture and sale of dyeing and finishing machines, trading of stainless steel supplies and manufacture and sale of stainless steel casting products.",Industrials - Industrial Engineering - Industrial Components & Equipment (HSIC*),HKD,"1,102,892,570","2,000,000,000",HKD 0.0500,2000,12/10/1990,New
00642,PALADIN PREF,Paladin Ltd. - Convertible Redeemable Preference Shares,百利大有限公司 - 可轉換可贖回優先股,"Suite 2304, 23rd FloorSun Life Tower, The GatewayHarbour CityKowloon, Hong Kong",Bermuda,"Investment holding, property development and property investment.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"69,073,529","1,270,000,000",HKD 0.0100,10000,30/11/2006,New
00643,CARRY WEALTH,Carry Wealth Holdings Ltd.,恒富控股有限公司,"Suite 2001, 20/FShui On Centre6-8 Harbour RoadWanchai, Hong Kong",Bermuda,"Garment manufacturing and trading, securities investment.","Consumer Goods - Textiles, Clothing & Personal Care - Apparel (HSIC*)",HKD,"818,041,413","2,000,000,000",HKD 0.1000,10000,13/3/2000,New
00645,ARES ASIA,Ares Asia Ltd.,安域亞洲有限公司,Level 96International Commerce Centre1 Austin Road WestHong Kong,Bermuda,Coal trading.,Energy - Coal - Coal (HSIC*),HKD,"342,116,934","36,000,000,000",HKD 0.0100,2000,22/12/1993,New
00646,CHINA ENV TEC,China Environmental Technology Holdings Ltd.,中國環保科技控股有限公司,"Unites 1003-5, 10/FShui On Centre6-8 Harbour RoadWanchai, Hong Kong",Cayman Islands,"Trading of machinery and equipment, environmental protection technology, equipment system integration, cities and towns wastewater treatment and project technical service.",Utilities - Utilities - Water (HSIC*),HKD,"2,500,302,761","8,000,000,000",HKD 0.0250,8000,28/3/2002,New
00647,JOYCE BOUTIQUE,Joyce Boutique Holdings Ltd.,Joyce Boutique Holdings Ltd.,"26/F, One Island South2 Heung Yip RoadWong Chuk HangHong Kong",Bermuda,"Sales of designer fashion garments, cosmetics and accessories.","Consumer Goods - Textiles, Clothing & Personal Care - Apparel (HSIC*)",HKD,"1,624,000,000","3,000,000,000",HKD 0.1000,2000,16/10/1990,New
00648,WAH YAN HEALTH,China Wah Yan Healthcare Ltd.,中國華仁醫療有限公司,"36th Floor, Times Tower391-407 Jaffe RoadWanchaiHong Kong",Hong Kong,"Operation of sports and healthcare clubhouses, optical products and eye-care services retail shops, medical centres specialising in diagnosis and treatment of tumours; investment in financial, fixed, distressed assets and loan financing.",Consumer Goods - Healthcare - Medical Devices & Services (HSIC*),HKD,"3,942,679,069",N/A,N/A,2500,29/10/1990,New
00650,SHUN CHEONG,Shun Cheong Holdings Ltd.,順昌集團有限公司,Suite 2302Wing On Centre111 Connaught RoadCentral Hong Kong,Bermuda,Hotel and restaurant operations in the PRC.,"Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Hotels & Resorts (HSIC*)",HKD,"1,616,740,575","8,000,000,000",HKD 0.0100,10000,7/10/1992,New
00651,CHI OCEAN IND,China Ocean Industry Group Ltd.,中海重工集團有限公司,"Units 1702-03, 17th FloorChina Merchants TowerShun Tak Centre168-200 Connaught Rd C, HK",Bermuda,Production and operation of shipbuilding and securities trading business.,Industrials - Industrial Engineering - Commercial Vehicles & Trucks (HSIC*),HKD,"11,997,983,840","20,000,000,000",HKD 0.0500,5000,23/7/1998,New
00653,BONJOUR HOLD,Bonjour Holdings Ltd.,卓悅控股有限公司,"12/F., Bonjour TowerNo.36-50 Wang Wo Tsai StreetTsuen WanHong Kong",Cayman Islands,"Retail and wholesale of beauty and health-care products in Hong Kong, Macau and the PRC.","Consumer Goods - Textiles, Clothing & Personal Care - Cosmetics & Personal Care (HSIC*)",HKD,"3,412,565,999","10,000,000,000",HKD 0.0100,2000,16/7/2003,New
00655,HK CHINESE LTD,Hongkong Chinese Ltd.,香港華人有限公司,24/F Tower OneLippo Centre89 QueenswayHong Kong,Bermuda,Investment holding; property investment and development; hotel operation; project management; fund management; underwriting; corporate finance; securities broking and investment; treasury investment; money lending; banking and others.,Properties & Construction - Properties - Property Investment (HSIC*),HKD,"1,998,280,097","4,000,000,000",HKD 1.0000,2000,12/10/1992,New
00656,FOSUN INTL,Fosun International Ltd.,復星國際有限公司,Room 808ICBC Tower3 Garden RoadCentral Hong Kong,Hong Kong,"Integrated finance (wealth) business includes: insurance, investment, wealth management and internet finance while the industrial operations include: health, happiness, steel, property development and sales, and resources.",Conglomerates - Conglomerates - Conglomerates (HSIC*),HKD,"8,612,175,144",N/A,N/A,500,16/7/2007,New
00657,G-VISION INT'L,G-Vision International (Holdings) Ltd.,環科國際集團有限公司,"Unit 108, 1st FloorEast Ocean Centre98 Granville Road,Tsimshatsui East, Kowloon, HK",Bermuda,Operation of Chinese restaurants in Hong Kong which specialise in Chiu Chow cuisine.,"Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Restaurants (HSIC*)",HKD,"1,946,314,108","5,000,000,000",HKD 0.1000,2000,30/10/1992,New
00658,C TRANSMISSION,"China High Speed Transmission Equipment Group Co., Ltd.",中國高速傳動設備集團有限公司,"Room 1302, 13th FloorCOFCO Tower262 Gloucester RoadCauseway Bay, Hong Kong",Cayman Islands,Production and sale of gear transmission equipment products.,Industrials - Industrial Engineering - Environmental Engineering (HSIC*),HKD,"1,635,291,556","3,000,000,000",USD 0.0100,1000,4/7/2007,New
00659,NWS HOLDINGS,NWS Holdings Ltd.,新創建集團有限公司,28/F New World Tower18 Queen's Road CentralHong Kong,Bermuda,"Investment in and operation of facilities, contracting, transport and financial services; development, investment, operation and management of power plants, water treatment and waste management plants, roads, ports and logistics facilities.",Conglomerates - Conglomerates - Conglomerates (HSIC*),HKD,"3,831,966,840","6,000,000,000",HKD 1.0000,1000,25/4/1997,New
00660,WAI CHUN MINING,Wai Chun Mining Industry Group Co. Ltd.,偉俊礦業集團有限公司,"13th FloorAdmiralty Centre, Tower II18 Harcourt RoadHong Kong",Cayman Islands,"Trading of athletic and athletic-style leisure footwear, working shoes, safety shoes, golf shoes and other functional shoes, and the manufacture and sale of modified starch and other biochemical products and general trading.",Materials - Basic Materials - Fertilisers & Agricultural Chemicals (HSIC*),HKD,"16,270,685,376","40,000,000,000",HKD 0.0025,10000,5/2/1993,New
00661,CDAYENONFER,China Daye Non-Ferrous Metals Mining Ltd.,中國大冶有色金屬礦業有限公司,18th Floor8 Queen's Road CentralCentralHong Kong,Bermuda,Mining and processing of mineral ores and trading of metal products.,Materials - Diversified Metals & Minerals - Copper (HSIC*),HKD,"17,895,579,706","30,000,000,000",HKD 0.0500,2000,21/11/1990,New
00662,ASIA FINANCIAL,Asia Financial Holdings Ltd.,亞洲金融集團有限公司,16th Floor Worldwide House19 Des Voeux Road CentralHong Kong,Bermuda,Provision of underwriting of general and life insurance.,Financials - Insurance - Insurance (HSIC*),HKD,"983,050,000","1,500,000,000",HKD 1.0000,2000,18/12/1990,New
00663,KING STONE ENGY,King Stone Energy Group Ltd.,金山能源集團有限公司,"Unit 7603, 76/FThe Center99 Queen's Road CentralHong Kong",Hong Kong,"Mining and selling of coal and silver, oil and gas extraction and production, oil extraction technology research and development and provision of finance leasing.",Energy - Coal - Coal (HSIC*),HKD,"7,010,055,568",N/A,N/A,1000,30/11/1990,New
00665,HAITONG INT'L,Haitong International Securities Group Ltd.,海通國際證券集團有限公司,"22/F, Li Po Chun Chambers189 Des Voeux Road CentralHong Kong",Bermuda,"Brokerage, provision of nominee & custodian services, corporate advisory, placing & underwriting, investment management, financing, trading & market making activities, structured products issuance & investment.",Financials - Other Financials - Securities & Brokerage (HSIC*),HKD,"5,326,681,218","10,000,000,000",HKD 0.1000,2000,6/8/1996,New
00666,SHK HK IND,SHK Hong Kong Industries Ltd.,新工投資有限公司,"Room 1801, 18th FloorAllied Kajima Building138 Gloucester RoadWanchai, Hong Kong",Hong Kong,Investments in listed and unlisted financial instruments.,Financials - Other Financials - Investment & Asset Management (HSIC*),HKD,"4,111,704,320",N/A,N/A,20000,21/12/1990,New
00668,DOYEN INTL HOLD,Doyen International Holdings Ltd.,東銀國際控股有限公司,"Suite 2009 to 201020th Floor, Harbour Centre25 Harbour RoadWanchai, Hong Kong",Hong Kong,Investment property holding in the PRC and provision of financing to customers in the PRC.,Properties & Construction - Properties - Property Investment (HSIC*),HKD,"1,274,038,550",N/A,N/A,2000,12/12/1990,New
00669,TECHTRONIC IND,Techtronic Industries Co. Ltd.,創科實業有限公司,"29/F, Tower 2Kowloon Commerce Centre51 Kwai Cheong RoadKwai Chung, New Territories,HK",Hong Kong,Manufactures and trading electrical and electronic products.,Consumer Goods - Household Goods & Electronics - Home Appliances (HSIC*),HKD,"1,834,206,941",N/A,N/A,500,17/12/1990,New
00670,CHINA EAST AIR,China Eastern Airlines Corporation Ltd. - H Shares,中國東方航空股份有限公司 - H股,2550 Hongqiao RoadShanghaiPRC,PRC,"Operation of civil aviation including the provision of passenger, cargo, mail delivery, tour operations and other extended transportation services.","Consumer Services - Transportation - Airlines (HSIC*)                     
				Industrials (CSIC**)",HKD,"4,659,100,000",N/A,RMB 1.0000,2000,5/2/1997,New
00672,ZHONGAN REALEST,Zhong An Real Estate Ltd.,眾安房產有限公司,"Room 4006, 40th FloorChina Resources Building26 Harbour RoadWanchai, Hong Kong",Cayman Islands,"Property development, leasing and hotel operation.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"2,348,582,400","4,000,000,000",HKD 0.1000,1000,13/11/2007,New
00673,CHINA HEALTH,China HealthCare Holdings Ltd.,中國衛生控股有限公司,"Unit 801, 8/FChina Insurance Group Building141 Des Voeux Road CentralHong Kong",Bermuda,"Provision of B-to-C consumer services, healthcare services and distribution of cooling system.",Information Technology - Software & Services - E-Commerce & Internet Services (HSIC*),HKD,"2,319,947,634","100,000,000,000",HKD 0.1000,3000,14/10/1996,New
00674,CULTURELANDMARK,Culture Landmark Investment Ltd.,文化地標投資有限公司,"Rooms 2501-05, 25th FloorChina Resources BuildingNo 26 Harbour RoadWanchai Hong Kong",Bermuda,Licence fee collection and provision of intellectual property enforcement services business; exhibition-related business; property sub-leasing business; property development and investment; entertainment business; and food and beverages.,Conglomerates - Conglomerates - Conglomerates (HSIC*),HKD,"1,077,778,570","20,000,000,000",HKD 0.0500,4000,25/1/1991,New
00675,K & P INT'L,K & P International Holdings Ltd.,堅寶國際控股有限公司,Units 2304-06 23rd FloorRiley House88 Lei Muk RoadKwai Chung Hong Kong,Bermuda,"Manufacture and sale of precision parts and components; and design, manufacture and sale of consumer electronic products.",Industrials - Industrial Engineering - Industrial Components & Equipment (HSIC*),HKD,"267,004,800","900,000,000",HKD 0.1000,2000,2/1/1997,New
00676,PEGASUS INT'L,Pegasus International Holdings Ltd.,創信國際控股有限公司,"Unit 904, 9/F, Skyway HouseNo.3 Sham Mong RoadTai Kok Tsui, KowloonHong Kong",Bermuda,Manufacture and sales of footwear products.,"Consumer Goods - Textiles, Clothing & Personal Care - Footwear (HSIC*)",HKD,"730,650,000","1,500,000,000",HKD 0.1000,2000,11/10/1996,New
00677,GOLDEN RES DEV,Golden Resources Development International Ltd.,金源米業國際有限公司,Golden Resources Centre2-12 Cheung Tat RoadTsing Yi IslandNew Territories Hong Kong,Bermuda,"Sourcing, importing, wholesaling, processing, packing, marketing and distribution of rice, security investment , property investment, operation of convenience stores and restaurants and investment holding.",Consumer Goods - Agricultural Products - Agricultural Products (HSIC*),HKD,"1,694,406,458","3,000,000,000",HKD 0.1000,2000,28/1/1991,New
